,,,,,,PM1 ,PM2,PM 10,,,,,,,,
2021-06-19T15:49:44.090370,54.57875,-1.239386667, none, o,0,4,5,5,1560,359,21,0,0,0,1919, 
2021-06-19T15:49:45.104271,54.57871833,-1.239351667, none, o,0,4,5,5,1599,371,21,0,0,0,1919, 
2021-06-19T15:49:46.115603,54.57869,-1.239318333, none, o,0,5,6,6,1811,526,28,0,0,0,1919, 
2021-06-19T15:49:47.131671,54.57867,-1.239285, none, o,0,5,6,6,1811,526,28,0,0,0,1919, 
2021-06-19T15:49:48.152238,54.57865667,-1.23925, none, o,0,5,6,6,1796,526,26,0,0,0,1919, 
2021-06-19T15:49:49.172827,54.57863667,-1.23921, none, o,0,5,6,6,1796,526,26,0,0,0,1919, 
2021-06-19T15:49:50.197244,54.578615,-1.23917, none, o,0,4,5,5,1617,383,22,0,0,0,1919, 
2021-06-19T15:49:51.209955,54.57859333,-1.239131667, none, w,0,4,5,5,1617,383,22,0,0,0,1919, 
2021-06-19T15:49:52.226743,54.57857,-1.239095, none, w,0,4,5,5,1572,373,26,0,0,0,1919, 
2021-06-19T15:49:53.241657,54.57854833,-1.23906, none, w,0,4,5,5,1572,373,26,0,0,0,1919, 
2021-06-19T15:49:54.264727,54.57852833,-1.239028333, none, w,0,3,4,4,1405,360,19,0,0,0,1919, 
2021-06-19T15:49:55.278304,54.57850833,-1.238986667, none, w,0,3,4,4,1405,360,19,0,0,0,1919, 
2021-06-19T15:49:56.291095,54.57849333,-1.238935, none, w,0,2,3,3,1351,337,17,0,0,0,1919, 
2021-06-19T15:49:57.305080,54.57847833,-1.23888, none, w,0,3,4,4,1351,337,17,0,0,0,1919, 
2021-06-19T15:49:58.318290,54.57846667,-1.238826667, none, w,0,3,4,4,1300,324,17,0,0,0,1919, 
2021-06-19T15:49:59.336345,54.578455,-1.238773333, none, e,0.003963895,3,4,4,1300,324,17,0,0,0,1919, 
2021-06-19T15:50:00.359167,54.57843667,-1.238706667, none, e,0.003963895,3,4,4,1300,326,17,0,0,0,1919, 
2021-06-19T15:50:01.376550,54.57842,-1.238653333, none, e,0.003963895,3,4,4,1300,326,17,0,0,0,1919, 
2021-06-19T15:50:02.401797,54.57841333,-1.238611667, none, e,0.003963895,3,4,4,1315,328,20,0,0,0,1919, 
2021-06-19T15:50:03.418814,54.57840167,-1.238568333, none, e,0.003963895,3,4,4,1315,328,20,0,0,0,1919, 
2021-06-19T15:50:04.441096,54.57839167,-1.238521667, none, e,0.003963895,3,4,4,1336,333,24,0,0,0,1919, 
