latitude;longitude;altitude;;;;
;;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
54.578745,;-1.2364,;80;;;;
54.57871,;-1.2363816667,;80;;;;
54.5786683333,;-1.2363766667,;80;;;;
54.57863,;-1.2363766667,;80;;;;
