latitude;longitude;altitude;;;;
;;80;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;81;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;84;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;83;;;;
1.234;5.678;84;;;;
1.234;5.678;81;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;82;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;81;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
1.234;5.678;81;;;;
1.234;5.678;80;;;;
1.234;5.678;80;;;;
54.578745,;-1.2364,;81;;;;
54.57871,;-1.2363816667,;81;;;;
54.5786683333,;-1.2363766667,;81;;;;
54.57863,;-1.2363766667,;81;;;;
54.5785833333,;-1.2363733333,;81;;;;
54.5785633333,;-1.236385,;80;;;;
54.57853,;-1.2363916667,;80;;;;
54.5784983333,;-1.2363916667,;80;;;;
54.5784683333,;-1.23639,;80;;;;
54.5784416667,;-1.236385,;82;;;;
54.5784166667,;-1.2363766667,;82;;;;
54.57841,;-1.2363633333,;82;;;;
54.5783983333,;-1.2363566667,;83;;;;
54.5784,;-1.23636,;83;;;;
54.578405,;-1.23637,;83;;;;
54.5784083333,;-1.2363666667,;83;;;;
54.5784,;-1.2363683333,;84;;;;
54.57839,;-1.2363733333,;84;;;;
54.5783866667,;-1.2363766667,;84;;;;
54.5783866667,;-1.2363733333,;84;;;;
54.5783783333,;-1.236375,;84;;;;
54.5783616667,;-1.236365,;84;;;;
54.578335,;-1.23637,;84;;;;
54.57831,;-1.2363783333,;85;;;;
54.5782783333,;-1.2363966667,;85;;;;
54.5782566667,;-1.236405,;85;;;;
54.5782166667,;-1.2364166667,;85;;;;
54.57818,;-1.23642,;85;;;;
54.5781516667,;-1.236415,;85;;;;
54.57813,;-1.236425,;85;;;;
54.578105,;-1.2364333333,;85;;;;
54.578085,;-1.2364383333,;85;;;;
54.5780583333,;-1.2364433333,;84;;;;
54.578035,;-1.236445,;84;;;;
54.5780116667,;-1.23645,;84;;;;
54.5779833333,;-1.2364583333,;84;;;;
54.5779566667,;-1.2364733333,;83;;;;
54.5779316667,;-1.2364866667,;83;;;;
54.57791,;-1.23649,;83;;;;
54.5778883333,;-1.2364933333,;83;;;;
54.5778666667,;-1.2364933333,;83;;;;
54.5778483333,;-1.2364983333,;82;;;;
54.5778283333,;-1.2365016667,;82;;;;
54.5778133333,;-1.2365033333,;82;;;;
54.5777966667,;-1.2365066667,;83;;;;
54.5777766667,;-1.23651,;84;;;;
54.5777566667,;-1.2365066667,;84;;;;
54.577735,;-1.2365033333,;83;;;;
54.5777116667,;-1.2365033333,;83;;;;
54.5776883333,;-1.2365083333,;84;;;;
54.5776633333,;-1.2365116667,;84;;;;
54.5776383333,;-1.2365116667,;84;;;;
54.5776133333,;-1.23652,;83;;;;
54.5775916667,;-1.2365266667,;83;;;;
54.5775683333,;-1.2365283333,;84;;;;
54.5775466667,;-1.2365283333,;84;;;;
54.5775283333,;-1.2365266667,;85;;;;
54.5775116667,;-1.2365216667,;85;;;;
54.577495,;-1.2365216667,;84;;;;
54.5774766667,;-1.2365216667,;83;;;;
54.5774616667,;-1.2365283333,;83;;;;
54.5774466667,;-1.23653,;82;;;;
54.57743,;-1.2365316667,;82;;;;
54.5774116667,;-1.23653,;83;;;;
54.5773916667,;-1.23653,;83;;;;
54.577375,;-1.23653,;83;;;;
54.5773566667,;-1.2365366667,;83;;;;
54.57734,;-1.2365433333,;83;;;;
54.577325,;-1.2365466667,;84;;;;
54.5773116667,;-1.236555,;84;;;;
54.5772966667,;-1.2365583333,;84;;;;
